Subject,Date_Time,CH_1_mV,CH_2_mV,Target
rommel,2019-03-03 19:23:47.143745,-0.13768018933298462,-2.8450780524903196,relax
rommel,2019-03-03 19:23:47.143945,-0.13505977015413087,-2.846977255381416,relax
rommel,2019-03-03 19:23:47.144045,-0.13486744581072874,-2.8472417013535933,relax
rommel,2019-03-03 19:23:47.144136,-0.13621371621454353,-2.8488524177295864,relax
rommel,2019-03-03 19:23:47.144224,-0.1324633915182024,-2.84832352578523,relax
rommel,2019-03-03 19:23:47.144312,-0.1329922834625582,-2.8495736340173443,relax
rommel,2019-03-03 19:23:47.144399,-0.12979489125349816,-2.8422653089680643,relax
rommel,2019-03-03 19:23:47.144487,-0.13743978390373196,-2.8467608904950885,relax
rommel,2019-03-03 19:23:47.144572,-0.1403246490547636,-2.84644836343706,relax
rommel,2019-03-03 19:23:47.144659,-0.13561270264141195,-2.845342498462498,relax
